,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
39,NVS230721P00110000,2023-04-28 14:31:16+00:00,110.0,8.2,4.3,6.3,0.0,0.0,2.0,12,0.13257703369140628,True,REGULAR,USD
40,NVS231020P00060000,2023-03-23 13:32:15+00:00,60.0,0.4,0.0,4.8,0.0,0.0,,60,0.7111845288085938,False,REGULAR,USD
41,NVS231020P00065000,2023-03-24 16:51:00+00:00,65.0,0.55,0.0,4.8,0.0,0.0,88.0,88,0.629886513671875,False,REGULAR,USD
42,NVS231020P00070000,2023-03-28 13:30:04+00:00,70.0,0.7,0.0,0.0,0.0,0.0,1.0,4,0.12500875,False,REGULAR,USD
43,NVS231020P00075000,2023-03-29 17:00:23+00:00,75.0,0.88,0.0,4.8,0.0,0.0,1.0,5,0.63086306640625,False,REGULAR,USD
44,NVS231020P00077500,2023-03-28 13:30:05+00:00,77.5,1.2,0.0,0.0,0.0,0.0,1.0,148,0.12500875,False,REGULAR,USD
45,NVS231020P00080000,2023-03-28 13:30:02+00:00,80.0,1.45,0.0,0.0,0.0,0.0,1.0,121,0.062509375,False,REGULAR,USD
46,NVS231020P00082500,2023-03-30 17:13:07+00:00,82.5,1.7,0.1,1.0,0.0,0.0,1.0,248,0.28565167480468745,False,REGULAR,USD
47,NVS231020P00085000,2023-05-02 19:23:58+00:00,85.0,0.7,0.5,1.6,0.0,0.0,1.0,166,0.3002999658203125,False,REGULAR,USD
48,NVS231020P00087500,2023-05-02 18:09:15+00:00,87.5,0.93,0.65,1.25,0.0,0.0,2.0,361,0.2485426708984375,False,REGULAR,USD
49,NVS231020P00090000,2023-04-17 16:58:21+00:00,90.0,2.0,0.85,1.55,0.0,0.0,4.0,1120,0.23847197082519528,False,REGULAR,USD
50,NVS231020P00092500,2023-04-25 13:30:48+00:00,92.5,1.1,1.05,1.7,0.0,0.0,10.0,2304,0.21717091430664062,False,REGULAR,USD
51,NVS231020P00095000,2023-04-27 18:45:30+00:00,95.0,2.05,1.4,2.3,0.0,0.0,1.0,453,0.21527884338378905,False,REGULAR,USD
52,NVS231020P00097500,2023-04-28 16:32:00+00:00,97.5,2.45,1.8,2.75,0.0,0.0,471.0,1134,0.20142400146484374,False,REGULAR,USD
53,NVS231020P00100000,2023-05-01 15:21:03+00:00,100.0,3.3,2.3,3.4,0.0,0.0,5.0,242,0.19129226684570313,False,REGULAR,USD
54,NVS231020P00105000,2023-05-02 19:55:35+00:00,105.0,4.82,2.8,5.1,0.0,0.0,3.0,118,0.1687094848632813,True,REGULAR,USD
55,NVS231020P00135000,2023-03-29 19:42:26+00:00,135.0,45.0,30.2,35.0,0.0,0.0,,1,0.4647270324707031,True,REGULAR,USD
56,NVS240119P00037500,2023-02-17 16:38:15+00:00,37.5,0.1,0.0,0.2,0.0,0.0,2.0,165,0.52539537109375,False,REGULAR,USD
57,NVS240119P00040000,2023-03-29 13:35:00+00:00,40.0,0.15,0.0,0.0,0.0,0.0,1.0,4,0.2500075,False,REGULAR,USD
58,NVS240119P00042500,2023-03-27 15:43:45+00:00,42.5,0.1,0.0,0.25,0.0,0.0,2.0,1016,0.5312546875,False,REGULAR,USD
59,NVS240119P00045000,2023-03-27 15:44:09+00:00,45.0,0.05,0.0,4.8,0.0,0.0,1.0,3,0.8100604931640624,False,REGULAR,USD
60,NVS240119P00050000,2023-03-29 17:46:05+00:00,50.0,0.25,0.0,0.45,0.0,0.0,1.0,924,0.49023947265625006,False,REGULAR,USD
61,NVS240119P00060000,2023-03-27 15:30:43+00:00,60.0,0.55,0.0,0.6,0.0,0.0,1.0,187,0.40479110839843746,False,REGULAR,USD
62,NVS240119P00065000,2022-09-27 19:04:39+00:00,65.0,3.5,1.1,4.9,0.0,0.0,24.0,43,0.5477340148925782,False,REGULAR,USD
63,NVS240119P00067500,2023-03-27 19:44:01+00:00,67.5,0.6,0.0,1.2,0.0,0.0,1.0,649,0.39038695556640624,False,REGULAR,USD
64,NVS240119P00070000,2023-04-28 15:25:53+00:00,70.0,0.7,0.45,4.9,0.0,0.0,1.0,144,0.5832561206054687,False,REGULAR,USD
65,NVS240119P00072500,2023-04-06 15:10:10+00:00,72.5,0.85,0.3,0.95,0.0,0.0,1.0,869,0.31873239868164055,False,REGULAR,USD
66,NVS240119P00075000,2023-04-20 15:35:48+00:00,75.0,1.2,0.6,2.75,0.0,0.0,10.0,539,0.4089414575195312,False,REGULAR,USD
67,NVS240119P00077500,2023-05-03 16:05:12+00:00,77.5,0.7,0.45,0.75,-0.25,-26.31579,1.0,676,0.25586681640625003,False,REGULAR,USD
68,NVS240119P00080000,2023-04-28 19:47:53+00:00,80.0,0.85,0.8,3.1,0.0,0.0,10.0,637,0.36890279541015625,False,REGULAR,USD
69,NVS240119P00082500,2023-04-24 13:30:02+00:00,82.5,1.35,0.75,3.8,0.0,0.0,1.0,536,0.3712221081542969,False,REGULAR,USD
70,NVS240119P00085000,2023-05-03 17:12:27+00:00,85.0,1.1,0.9,1.7,-0.029999971,-2.6548648,1.0,258,0.24781025634765624,False,REGULAR,USD
71,NVS240119P00087500,2023-04-24 13:30:02+00:00,87.5,1.8,1.1,1.95,0.0,0.0,1.0,167,0.23535920898437498,False,REGULAR,USD
72,NVS240119P00090000,2023-04-28 19:47:53+00:00,90.0,1.85,1.4,2.3,0.0,0.0,10.0,572,0.2254716125488281,False,REGULAR,USD
