,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
39,META230505C00197500,2023-05-03 18:08:19+00:00,197.5,40.85,39.3,40.0,-2.300003,-5.3302503,2.0,87,0.9570316796874999,True,REGULAR,USD
40,META230505C00200000,2023-05-03 19:37:11+00:00,200.0,36.05,36.8,37.5,-3.3100014,-8.409556,47.0,377,0.8984385156249999,True,REGULAR,USD
41,META230505C00202500,2023-05-03 17:09:25+00:00,202.5,32.03,34.3,35.0,-7.220001,-18.394909,20.0,135,0.84179845703125,True,REGULAR,USD
42,META230505C00205000,2023-05-03 19:03:16+00:00,205.0,32.55,31.8,32.5,-2.6900024,-7.6333776,16.0,346,0.7851583984375,True,REGULAR,USD
43,META230505C00207500,2023-05-03 18:33:31+00:00,207.5,32.0,29.3,30.0,-3.5999985,-10.112355,3.0,411,0.72851833984375,True,REGULAR,USD
44,META230505C00210000,2023-05-03 19:33:19+00:00,210.0,25.55,26.8,27.5,-4.0,-13.536379,24.0,983,0.6718782812500002,True,REGULAR,USD
45,META230505C00212500,2023-05-03 19:34:31+00:00,212.5,24.85,24.3,24.95,-2.3500004,-8.639707,67.0,1851,0.5937540625000001,True,REGULAR,USD
46,META230505C00215000,2023-05-03 19:33:19+00:00,215.0,20.61,21.85,22.5,-3.6399994,-15.010306,44.0,1476,0.57812921875,True,REGULAR,USD
47,META230505C00217500,2023-05-03 19:29:10+00:00,217.5,18.75,19.35,20.05,-3.4500008,-15.540544,27.0,1271,0.5361374511718751,True,REGULAR,USD
48,META230505C00220000,2023-05-03 19:59:18+00:00,220.0,17.49,16.9,17.55,-2.1100006,-10.765309,127.0,956,0.6103554589843752,True,REGULAR,USD
49,META230505C00222500,2023-05-03 18:25:17+00:00,222.5,15.23,14.45,15.15,-3.1900005,-17.318136,140.0,784,0.5664105859375,True,REGULAR,USD
50,META230505C00225000,2023-05-03 19:59:18+00:00,225.0,12.65,12.05,12.65,-1.8600006,-12.818749,272.0,1219,0.49268085449218757,True,REGULAR,USD
51,META230505C00227500,2023-05-03 19:31:50+00:00,227.5,8.7,9.75,10.3,-3.4800005,-28.571432,193.0,483,0.44775942871093743,True,REGULAR,USD
52,META230505C00230000,2023-05-03 19:56:01+00:00,230.0,8.35,7.55,8.15,-1.5699997,-15.82661,448.0,1602,0.42529871582031253,True,REGULAR,USD
53,META230505C00232500,2023-05-03 19:59:51+00:00,232.5,5.95,5.5,6.1,-2.1100006,-26.178667,905.0,296,0.3957579956054688,True,REGULAR,USD
54,META230505C00235000,2023-05-03 19:58:45+00:00,235.0,4.35,3.9,4.35,-1.73,-28.453949,4761.0,2162,0.3789124609375,True,REGULAR,USD
55,META230505C00237500,2023-05-03 19:59:59+00:00,237.5,2.6,2.53,2.71,-1.9000001,-42.222225,9793.0,1580,0.3425358715820312,False,REGULAR,USD
56,META230505C00240000,2023-05-03 19:59:58+00:00,240.0,1.6,1.47,1.6,-1.35,-45.76271,32857.0,10853,0.3293524096679687,False,REGULAR,USD
57,META230505C00242500,2023-05-03 19:59:26+00:00,242.5,0.89,0.75,0.9,-1.0600001,-54.35898,27484.0,5793,0.32691102783203124,False,REGULAR,USD
58,META230505C00245000,2023-05-03 19:59:54+00:00,245.0,0.43,0.4,0.45,-0.77000004,-64.166664,31225.0,9975,0.3215399877929687,False,REGULAR,USD
59,META230505C00247500,2023-05-03 19:59:43+00:00,247.5,0.2,0.2,0.23,-0.5,-71.42857,9932.0,3559,0.3266668896484375,False,REGULAR,USD
60,META230505C00250000,2023-05-03 19:59:52+00:00,250.0,0.11,0.11,0.12,-0.29000002,-72.5,18073.0,13479,0.335944140625,False,REGULAR,USD
61,META230505C00252500,2023-05-03 19:59:33+00:00,252.5,0.05,0.04,0.06,-0.16,-76.190475,5065.0,5654,0.3437565625,False,REGULAR,USD
62,META230505C00255000,2023-05-03 19:54:07+00:00,255.0,0.04,0.02,0.04,-0.089999996,-69.230774,5011.0,8527,0.367193828125,False,REGULAR,USD
63,META230505C00257500,2023-05-03 19:58:08+00:00,257.5,0.03,0.02,0.05,-0.060000002,-66.66667,1044.0,4422,0.42188078125,False,REGULAR,USD
