,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
38,AAPL230505P00175000,2023-05-03 19:57:41+00:00,175.0,8.27,7.4,8.3,1.2700005,18.142864,888.0,4091,0.51758294921875,True,REGULAR,USD
39,AAPL230505P00177500,2023-05-03 19:50:57+00:00,177.5,10.42,9.6,10.5,1.2200003,13.260873,111.0,144,0.5293015820312501,True,REGULAR,USD
40,AAPL230505P00180000,2023-05-03 19:51:49+00:00,180.0,12.75,12.05,13.2,1.3000002,11.353713,412.0,260,0.684573466796875,True,REGULAR,USD
41,AAPL230505P00182500,2023-05-03 19:49:22+00:00,182.5,15.35,14.4,15.9,1.6000004,11.636367,106.0,313,0.5117236328125,True,REGULAR,USD
42,AAPL230505P00185000,2023-05-03 19:45:55+00:00,185.0,17.62,17.4,18.35,0.20000076,1.14811,218.0,79,0.7246121289062499,True,REGULAR,USD
43,AAPL230505P00187500,2023-05-03 18:56:02+00:00,187.5,17.4,19.15,20.85,-0.95000076,-5.1771154,37.0,0,0.9941406835937501,True,REGULAR,USD
44,AAPL230505P00190000,2023-05-03 19:17:03+00:00,190.0,21.0,21.7,23.35,-0.25,-1.1764706,37.0,2,1.076176494140625,True,REGULAR,USD
45,AAPL230505P00195000,2023-05-03 13:52:10+00:00,195.0,24.5,26.75,28.4,-2.0100002,-7.5820456,3.0,0,0.6796907031250001,True,REGULAR,USD
46,AAPL230505P00200000,2023-05-03 14:10:39+00:00,200.0,29.8,31.5,33.7,-0.6800003,-2.2309723,4.0,0,0.8476577734374999,True,REGULAR,USD
47,AAPL230505P00230000,2023-04-04 14:14:10+00:00,230.0,63.37,61.9,63.6,0.0,0.0,,0,1.677735986328125,True,REGULAR,USD
48,AAPL230505P00235000,2023-04-19 17:25:00+00:00,235.0,67.1,66.65,68.2,0.0,0.0,,0,2.156254609375,True,REGULAR,USD
49,AAPL230505P00250000,2023-05-02 14:59:53+00:00,250.0,80.35,81.9,83.3,-1.4000015,-1.7125401,1.0,3,1.71875140625,True,REGULAR,USD
50,AAPL230512P00050000,2023-05-01 18:03:13+00:00,50.0,0.01,0.0,0.04,0.0,0.0,7.0,9,2.5156287109374995,False,REGULAR,USD
